cID,countryname,continent,year,l_yield,temp
2,"Albania","EU",1992,.2485054,-7.035635
2,"Albania","EU",1993,.3510514,-7.042049
2,"Albania","EU",1994,.2810173,-6.270526
2,"Albania","EU",1995,.4098222,-7.418821
2,"Albania","EU",1996,.2046494,-7.307178
2,"Albania","EU",1997,.3872372,-7.490121
2,"Albania","EU",1998,.3748492,-7.434936
2,"Albania","EU",1999,.3475793,-6.770066
2,"Albania","EU",2000,.4863364,-6.744639
2,"Albania","EU",2001,.39405,-6.824751
2,"Albania","EU",2002,.4838153,-7.137465
2,"Albania","EU",2003,.4148737,-6.932484
2,"Albania","EU",2004,.4788164,-7.289394
2,"Albania","EU",2005,.4822576,-7.764555
2,"Albania","EU",2006,.5086188,-7.748395
2,"Albania","EU",2007,.5681131,-6.868027
2,"Albania","EU",2008,.6201931,-6.62546
3,"Algeria","AF",1961,-1.165469,-3.59096
3,"Algeria","AF",1962,-.3690179,-3.867518
3,"Algeria","AF",1963,-.3875232,-3.89056
3,"Algeria","AF",1964,-.8166314,-3.655485
3,"Algeria","AF",1965,-.6964174,-3.751097
3,"Algeria","AF",1966,-1.088526,-3.924713
3,"Algeria","AF",1967,-.7105557,-3.756922
3,"Algeria","AF",1968,-.5859589,-3.762201
3,"Algeria","AF",1969,-.7577332,-4.393485
3,"Algeria","AF",1970,-.6988214,-4.175714
3,"Algeria","AF",1971,-.8517793,-4.330718
3,"Algeria","AF",1972,-.7187698,-4.630842
3,"Algeria","AF",1973,-.9977156,-4.506863
3,"Algeria","AF",1974,-1.073413,-4.241523
3,"Algeria","AF",1975,-.5448477,-4.614649
3,"Algeria","AF",1976,-.7404151,-4.636429
3,"Algeria","AF",1977,-1.250809,-4.192219
3,"Algeria","AF",1978,-.9338209,-4.528063
3,"Algeria","AF",1979,-.951835,-4.446093
3,"Algeria","AF",1980,-.7119042,-4.610856
3,"Algeria","AF",1981,-.9060335,-4.014231
3,"Algeria","AF",1982,-1.000701,-3.931724
3,"Algeria","AF",1983,-1.011602,-4.047976
3,"Algeria","AF",1984,-1.102684,-4.520636
3,"Algeria","AF",1985,-.6411797,-3.822555
3,"Algeria","AF",1986,-.7429351,-4.061494
3,"Algeria","AF",1987,-.8132178,-3.783916
3,"Algeria","AF",1988,-1.152181,-3.891044
3,"Algeria","AF",1989,-.8614472,-3.586115
3,"Algeria","AF",1990,-.9693871,-3.944862
3,"Algeria","AF",1991,-.501844,-4.684134
3,"Algeria","AF",1992,-.6207067,-4.609368
3,"Algeria","AF",1993,-.9353045,-4.207063
3,"Algeria","AF",1994,-.9077254,-3.5298
3,"Algeria","AF",1995,-.8212865,-3.920963
3,"Algeria","AF",1996,-.4006639,-4.095902
3,"Algeria","AF",1997,-.9029225,-3.550771
3,"Algeria","AF",1998,-.8471938,-4.445831
3,"Algeria","AF",1999,-.6137607,-3.648091
3,"Algeria","AF",2000,-.7931746,-3.651922
3,"Algeria","AF",2001,-.6131802,-3.375951
3,"Algeria","AF",2002,-.6507663,-3.83301
3,"Algeria","AF",2003,-.3583315,-3.455913
3,"Algeria","AF",2004,-.4685179,-3.967644
3,"Algeria","AF",2005,-.3536193,-4.220909
3,"Algeria","AF",2006,-.3651748,-3.373799
3,"Algeria","AF",2007,-.5219791,-3.993828
3,"Algeria","AF",2008,-.7527389,-3.61176
4,"Angola","AF",1961,-.2931836,4.332489
4,"Angola","AF",1962,-.3493117,4.411098
4,"Angola","AF",1963,-.3942643,4.480625
4,"Angola","AF",1964,-.3146735,4.456375
4,"Angola","AF",1965,-.2664596,4.582596
4,"Angola","AF",1966,-.374911,4.57872
4,"Angola","AF",1967,-.4556395,4.477679
4,"Angola","AF",1968,-.4527287,4.433798
4,"Angola","AF",1969,-.3781322,4.573632
4,"Angola","AF",1970,-.3416131,4.565461
4,"Angola","AF",1971,-.5364545,4.536307
4,"Angola","AF",1972,-.5688827,4.655642
4,"Angola","AF",1973,-.5608732,4.824821
4,"Angola","AF",1974,-.7148314,4.514627
4,"Angola","AF",1975,-.6329786,4.569969
4,"Angola","AF",1976,-.6244521,4.436563
4,"Angola","AF",1977,-.8672417,4.755472
4,"Angola","AF",1978,-.8043711,4.740971
4,"Angola","AF",1979,-1.049624,4.877807
4,"Angola","AF",1980,-.9194528,4.875585
4,"Angola","AF",1981,-1.265299,4.500652
4,"Angola","AF",1982,-1.275821,4.306344
4,"Angola","AF",1983,-1.190271,4.524722
4,"Angola","AF",1984,-1.263496,4.782707
4,"Angola","AF",1985,-1.350013,4.661645
4,"Angola","AF",1986,-1.533497,4.48729
4,"Angola","AF",1987,-1.503343,4.884652
4,"Angola","AF",1988,-1.698645,4.466106
4,"Angola","AF",1989,-1.870191,4.377153
4,"Angola","AF",1990,-1.732712,4.296597
4,"Angola","AF",1991,-1.48396,4.419282
4,"Angola","AF",1992,-1.485651,4.782165
4,"Angola","AF",1993,-1.953771,4.535912
4,"Angola","AF",1994,-1.82883,4.256274
4,"Angola","AF",1995,-1.545529,5.016696
4,"Angola","AF",1996,-1.117331,4.878513
4,"Angola","AF",1997,-1.221424,4.460229
4,"Angola","AF",1998,-1.034586,4.909418
4,"Angola","AF",1999,-1.158878,4.320993
4,"Angola","AF",2000,-1.227413,4.386945
4,"Angola","AF",2001,-1.18683,4.48925
4,"Angola","AF",2002,-1.15375,4.802648
4,"Angola","AF",2003,-1.146218,4.912462
4,"Angola","AF",2004,-1.495092,4.574489
4,"Angola","AF",2005,-1.274954,5.052016
4,"Angola","AF",2006,-1.48843,4.342786
4,"Angola","AF",2007,-1.454679,4.659481
4,"Angola","AF",2008,-1.120528,4.717232
5,"Argentina","SA",1961,.2395737,-.7009014
5,"Argentina","SA",1962,.3098384,-.9397678
5,"Argentina","SA",1963,.2437853,-.7920593
5,"Argentina","SA",1964,.3459181,-1.274584
5,"Argentina","SA",1965,.1426472,-.5133971
5,"Argentina","SA",1966,.2610706,-1.140721
5,"Argentina","SA",1967,.2234143,-.4581462
5,"Argentina","SA",1968,.0358582,-.4462752
5,"Argentina","SA",1969,.1697809,-.502975
5,"Argentina","SA",1970,.3252927,-.4848813
5,"Argentina","SA",1971,.258167,-.6151935
5,"Argentina","SA",1972,.155184,-.6550992
5,"Argentina","SA",1973,.4219011,-1.191628
5,"Argentina","SA",1974,.3400792,-.6689308
5,"Argentina","SA",1975,.2941845,-.4729736
5,"Argentina","SA",1976,.2755079,-.9386961
5,"Argentina","SA",1977,.3970162,-.3385777
5,"Argentina","SA",1978,.485987,-.650421
5,"Argentina","SA",1979,.4373495,-.8903258
5,"Argentina","SA",1980,.190213,-.2463065
5,"Argentina","SA",1981,.4165578,-.3807145
5,"Argentina","SA",1982,.4144989,-.3290645
5,"Argentina","SA",1983,.3800281,-1.087819
5,"Argentina","SA",1984,.4484444,-1.167352
5,"Argentina","SA",1985,.3422898,-.3909633
5,"Argentina","SA",1986,.3835183,-.4195954
5,"Argentina","SA",1987,.3295429,-1.064641
5,"Argentina","SA",1988,.3301202,-1.410845
5,"Argentina","SA",1989,.168257,-.4599806
5,"Argentina","SA",1990,.2081484,-1.183736
5,"Argentina","SA",1991,.370367,-.788285
5,"Argentina","SA",1992,.5551966,-1.092543
5,"Argentina","SA",1993,.4094611,-.8520463
5,"Argentina","SA",1994,.4158077,-.4481916
5,"Argentina","SA",1995,.3950378,-1.120396
5,"Argentina","SA",1996,.3213983,-.6919193
5,"Argentina","SA",1997,.5421688,-.4999221
5,"Argentina","SA",1998,.6260017,-1.550539
5,"Argentina","SA",1999,.5280826,-1.313591
5,"Argentina","SA",2000,.5704753,-1.402939
5,"Argentina","SA",2001,.4505295,-.7526252
5,"Argentina","SA",2002,.4681703,-1.212885
5,"Argentina","SA",2003,.5570742,-1.015411
5,"Argentina","SA",2004,.5354856,-1.055261
5,"Argentina","SA",2005,.682821,-1.353443
5,"Argentina","SA",2006,.53589,-.8820068
